time,open,high,low,close,volume
2022-05-11 11:25:00,264.50456223,264.704075383,264.384854338,264.602523188,34643
2022-05-11 11:24:00,264.275122104,264.624270122,264.230231645,264.554440518,50920
2022-05-11 11:23:00,264.215268159,264.644221437,264.215268159,264.29507342,75141
2022-05-11 11:22:00,263.626704358,264.275122104,263.626704358,264.16538987,82274
2022-05-11 11:21:00,263.447142521,263.626704358,263.327434629,263.546899097,43917
2022-05-11 11:20:00,263.636680016,263.706509619,263.427191205,263.427191205,37434
2022-05-11 11:19:00,263.277556341,263.74641225,263.148172061,263.656631331,104746
2022-05-11 11:18:00,263.497020809,263.556874755,263.227678053,263.267580683,127798
2022-05-11 11:17:00,264.185341186,264.215268159,263.487743447,263.497020809,138246
2022-05-11 11:16:00,264.524513545,264.624270122,264.175365528,264.205292501,65824
2022-05-11 11:15:00,264.33497605,264.773904986,264.320012564,264.484610915,54341
2022-05-11 11:14:00,264.255170789,264.434732627,264.115511582,264.374878681,63544
2022-05-11 11:13:00,264.374878681,264.542569486,264.175365528,264.269336223,53353
2022-05-11 11:12:00,264.354927366,264.644221437,264.235219474,264.344951708,114864
2022-05-11 11:11:00,264.160402042,264.414781311,263.975852375,264.374878681,70956
2022-05-11 11:10:00,264.16538987,264.315024735,264.04069415,264.185341186,55887
2022-05-11 11:09:00,264.075608952,264.394829996,264.005779348,264.155414213,83698
2022-05-11 11:08:00,264.145438555,264.255170789,263.925974087,264.085385096,64089
2022-05-11 11:07:00,264.29507342,264.4646596,263.906022772,264.135462898,94946
2022-05-11 11:06:00,264.225243816,264.604318806,264.175365528,264.285097762,86756
2022-05-11 11:05:00,264.205292501,264.50456223,264.095560267,264.246292454,86772
2022-05-11 11:04:00,263.866120141,264.584367491,263.777037519,264.207786415,137746
2022-05-11 11:03:00,264.265146447,264.50456223,263.836193168,263.866120141,131845
2022-05-11 11:02:00,264.913564193,264.933515508,264.215268159,264.270134276,114677
2022-05-11 11:01:00,265.152979976,265.332541814,264.848722419,264.893612878,132956
2022-05-11 11:00:00,264.903588536,265.312590499,264.783880644,265.113077346,75119
2022-05-11 10:59:00,264.813807617,265.118962984,264.694099725,264.933515508,76554
2022-05-11 10:58:00,264.783880644,264.936208936,264.67414841,264.803831959,73985
2022-05-11 10:57:00,265.073174715,265.26271221,264.793856302,264.793856302,72487
2022-05-11 10:56:00,264.753953671,265.172931292,264.484610915,265.103101688,110491
2022-05-11 10:55:00,264.634245779,264.86528201,264.434732627,264.753953671,115948
2022-05-11 10:54:00,264.604418563,264.773904986,264.544464861,264.634245779,56105
2022-05-11 10:53:00,265.123053004,265.133028661,264.255170789,264.594442905,102080
2022-05-11 10:52:00,265.467213192,265.681689831,264.903588536,265.152979976,131032
2022-05-11 10:51:00,265.891178642,265.970983903,265.452249706,265.482176678,72098
2022-05-11 10:50:00,266.050789164,266.140570082,264.853710247,265.961008245,37771
2022-05-11 10:49:00,265.990935218,266.090691794,265.77147075,266.000910876,54207
2022-05-11 10:48:00,266.190448371,266.340083235,265.970983903,266.030837848,75702
2022-05-11 10:47:00,266.878768748,267.051148112,266.080716137,266.250302316,134101
2022-05-11 10:46:00,266.798963486,267.018427954,266.629377307,266.798963486,59171
2022-05-11 10:45:00,266.619401649,266.968549666,266.559547703,266.779012171,121244
2022-05-11 10:44:00,266.270253632,266.729133883,266.070740479,266.674267766,79265
2022-05-11 10:43:00,266.260277974,266.449815469,266.030837848,266.290204947,114460
2022-05-11 10:42:00,266.250302316,266.409912839,265.851276011,266.230351001,91728
2022-05-11 10:41:00,266.729133883,266.828890459,266.290204947,266.290204947,175532
2022-05-11 10:40:00,266.619401649,266.998476639,266.499693757,266.739109541,123294
2022-05-11 10:39:00,266.471662159,266.998476639,266.389961523,266.649328622,151651
2022-05-11 10:38:00,265.641787201,266.479742442,265.552006282,266.459791127,113799
2022-05-11 10:37:00,265.631811543,266.000910876,265.542030624,265.681689831,74020
2022-05-11 10:36:00,266.240326659,266.559547703,265.472201021,265.611860228,107235
2022-05-11 10:35:00,266.250302316,266.441834943,266.170497055,266.260277974,62206
2022-05-11 10:34:00,266.300180605,266.599450334,266.240326659,266.350058893,44373
2022-05-11 10:33:00,266.330107578,266.69920691,265.970983903,266.370010208,65682
2022-05-11 10:32:00,266.619401649,266.619401649,265.831324696,266.409912839,119241
2022-05-11 10:31:00,266.719158225,266.988500982,266.469766784,266.609425991,107316
2022-05-11 10:30:00,266.399937181,267.217941107,266.389961523,266.769036514,83584
2022-05-11 10:29:00,266.52962073,266.589474676,266.040813506,266.429864154,99665
2022-05-11 10:28:00,267.190807318,267.190807318,266.549572046,266.602143761,108409
2022-05-11 10:27:00,266.898720063,267.636918728,266.649328622,267.24786808,100125
2022-05-11 10:26:00,267.527186494,267.62694307,266.828890459,266.938622693,73016
2022-05-11 10:25:00,267.886310169,268.060884177,267.45735689,267.517210836,90638
2022-05-11 10:24:00,267.926212799,268.165628583,267.646894386,267.836431881,124238
2022-05-11 10:23:00,267.267819395,267.986066745,267.237892422,267.956139772,123166
2022-05-11 10:22:00,265.841300353,267.427429918,265.821448795,267.327773098,146539
2022-05-11 10:21:00,266.419888496,266.69920691,265.681689831,265.851276011,141891
2022-05-11 10:20:00,266.15054574,266.569523361,265.901154299,266.419888496,88074
2022-05-11 10:19:00,265.452249706,266.379985866,265.43229839,266.120618767,105208
2022-05-11 10:18:00,264.913564193,265.761495092,264.743978013,265.56198194,127890
2022-05-11 10:17:00,265.42850764,265.821349038,264.853710247,264.88363722,104753
2022-05-11 10:16:00,266.090691794,266.100667452,265.182906949,265.502127994,101725
2022-05-11 10:15:00,265.252736553,266.789686125,265.25253704,266.020862191,141900
2022-05-11 10:14:00,265.202858265,265.512103651,264.773904986,265.252736553,100983
2022-05-11 10:13:00,265.192882607,265.701641146,264.923539851,265.350098971,72612
2022-05-11 10:12:00,265.781446408,266.095679623,265.113077346,265.26271221,83244
2022-05-11 10:11:00,265.442274048,265.965996074,265.023296427,265.711616804,110261
2022-05-11 10:10:00,266.918671378,266.946802733,265.272687868,265.442174291,195497
2022-05-11 10:09:00,267.297746368,267.297746368,266.693321272,266.860413537,78913
2022-05-11 10:08:00,266.928647036,267.686797016,266.928647036,267.267819395,66866
2022-05-11 10:07:00,266.988500982,267.597016097,266.634165622,266.968549666,103302
2022-05-11 10:06:00,267.577064782,267.686797016,266.599450334,266.978525324,109037
2022-05-11 10:05:00,267.786553592,268.375117393,267.50224735,267.63452457,108410
2022-05-11 10:04:00,267.24786808,268.112657841,266.938622693,267.816480565,118747
2022-05-11 10:03:00,267.716723989,267.936188457,266.928647036,267.237892422,104904
2022-05-11 10:02:00,268.714289753,268.953705536,267.776178909,267.846407538,88690
2022-05-11 10:01:00,268.734241068,268.754192383,267.317697684,268.624508834,155750
2022-05-11 10:00:00,268.365141735,268.983632509,268.215506871,268.68436278,127945
2022-05-11 09:59:00,268.285336474,268.734241068,267.876334511,268.319952006,101218
2022-05-11 09:58:00,267.527186494,268.494825285,267.327673341,268.295312132,106452
2022-05-11 09:57:00,268.405044366,268.504800942,267.467332548,267.527186494,92109
2022-05-11 09:56:00,268.973656851,268.983632509,267.986066745,268.395068708,126818
2022-05-11 09:55:00,269.82158775,269.919448952,268.685360346,268.993608166,129738
2022-05-11 09:54:00,269.602123282,269.861490381,269.113316058,269.801636435,117061
2022-05-11 09:53:00,270.420127208,270.420127208,269.382658814,269.661777715,127165
2022-05-11 09:52:00,269.113316058,270.699445622,269.1033404,270.390200236,219779
2022-05-11 09:51:00,269.003583824,269.14823086,268.444946996,269.083389085,136262
2022-05-11 09:50:00,268.614533176,269.332780526,268.533630593,269.028522968,174614
2022-05-11 09:49:00,267.746650962,268.794095014,267.726699647,268.654435807,139014
2022-05-11 09:48:00,267.277795053,267.846407538,266.928647036,267.79652925,154538
2022-05-11 09:47:00,266.373202419,267.347624656,266.230351001,267.327673341,149213
2022-05-11 09:46:00,266.90869572,267.084367051,266.370010208,266.409912839,135079
2022-05-11 09:45:00,265.906142128,267.197989792,265.532054967,266.878768748,207746
2022-05-11 09:44:00,265.322566156,265.931081272,265.272687868,265.921105614,127308
2022-05-11 09:43:00,265.901154299,266.060764821,265.01332077,265.272687868,152503
2022-05-11 09:42:00,263.716485277,266.060764821,263.6167287,266.005898704,219970
2022-05-11 09:41:00,263.756387907,264.015755006,263.397264232,263.686558304,149253
2022-05-11 09:40:00,264.175365528,264.235219474,263.516972124,263.756387907,158571
2022-05-11 09:39:00,263.696533962,264.474635257,263.696533962,264.175365528,158433
2022-05-11 09:38:00,263.217702395,264.105535925,263.107970161,263.696533962,190162
2022-05-11 09:37:00,264.454683942,264.544464861,263.144979851,263.187775422,215695
2022-05-11 09:36:00,264.614294464,265.22280958,264.255170789,264.444708284,184207
2022-05-11 09:35:00,265.252736553,265.272687868,264.135462898,264.624270122,231284
2022-05-11 09:34:00,267.028403612,267.048354927,265.01332077,265.202858265,125918
2022-05-11 09:33:00,267.168062819,267.646894386,266.569523361,267.088257558,206408
2022-05-11 09:32:00,265.651762858,267.79652925,265.332541814,267.158087161,207474
2022-05-11 09:31:00,265.033272085,265.921105614,264.604318806,265.681689831,583711
2022-05-11 09:30:00,264.973418139,265.342517472,264.973418139,265.232785238,4233
2022-05-11 09:29:00,264.863685905,264.963442481,264.823783274,264.963442481,21211
2022-05-11 09:28:00,266.639352964,266.69222395,265.452249706,265.452249706,7814
2022-05-11 09:27:00,266.65930428,266.65930428,266.65930428,266.65930428,624
2022-05-11 09:26:00,266.998476639,266.998476639,266.998476639,266.998476639,398
2022-05-11 09:25:00,266.729133883,266.998476639,266.729133883,266.998476639,1461
2022-05-11 09:24:00,266.280229289,266.729133883,265.851276011,266.729133883,5711
2022-05-11 09:23:00,267.158087161,267.287670954,266.297886203,266.350058893,4815
2022-05-11 09:22:00,267.427429918,267.427429918,267.334656302,267.347624656,7518
2022-05-11 09:21:00,266.679255595,267.397502945,266.679255595,267.347624656,6985
2022-05-11 09:20:00,266.549472289,266.559547703,266.519645073,266.559547703,2365
2022-05-11 09:19:00,266.240326659,266.519645073,266.100667452,266.499693757,5958
2022-05-11 09:18:00,265.452249706,265.452249706,265.452249706,265.452249706,1256
2022-05-11 09:17:00,265.452249706,265.472201021,265.352493129,265.472201021,2762
2022-05-11 09:16:00,265.830227373,265.831324696,265.472201021,265.472201021,1711
